Context-Sensitive Fencing: Securing Speculative Execution via Microcode Customization.	Mohammadkazem Taram,Ashish Venkat,Dean M. Tullsen	10.1145/3297858.3304060
Compress Objects, Not Cache Lines: An Object-Based Compressed Memory Hierarchy.	Po-An Tsai,Daniel Sánchez 0003	10.1145/3297858.3304006
Understanding Real-World Concurrency Bugs in Go.	Tengfei Tu,Xiaoyu Liu,Linhai Song,Yiying Zhang 0005	10.1145/3297858.3304069
Boosted Race Trees for Low Energy Classification.	Georgios Tzimpragos,Advait Madhavan,Dilip Vasudevan,Dmitri B. Strukov,Timothy Sherwood	10.1145/3297858.3304036
Fast Fine-Grained Global Synchronization on GPUs.	Kai Wang,Don Fussell,Calvin Lin	10.1145/3297858.3304055
Puddle: A Dynamic, Error-Correcting, Full-Stack Microfluidics Platform.	Max Willsey,Ashley P. Stephenson,Chris Takahashi,Pranav Vaid,Bichlien H. Nguyen,Michal Piszczek,Christine Betts,Sharon Newman,Sarang Joshi,Karin Strauss,Luis Ceze	10.1145/3297858.3304027
Protecting Page Tables from RowHammer Attacks using Monotonic Pointers in DRAM True-Cells.	Xin-Chuan Wu,Timothy Sherwood,Frederic T. Chong,Yanjing Li	10.1145/3297858.3304039
Finding and Fixing Performance Pathologies in Persistent Memory Software Stacks.	Jian Xu 0012,Juno Kim,Amir Saman Memaripour,Steven Swanson	10.1145/3297858.3304077
PnP: Pruning and Prediction for Point-To-Point Iterative Graph Analytics.	Chengshuo Xu,Keval Vora,Rajiv Gupta 0001	10.1145/3297858.3304012
Nimble Page Management for Tiered Memory Systems.	Zi Yan,Daniel Lustig,David W. Nellans,Abhishek Bhattacharjee	10.1145/3297858.3304024
Architectural Support for Containment-based Security.	Hansen Zhang,Soumyadeep Ghosh,Jordan Fix,Sotiris Apostolakis,Stephen R. Beard,Nayana P. Nagendra,Taewook Oh,David I. August	10.1145/3297858.3304020
DiGraph: An Efficient Path-based Iterative Directed Graph Processing System on Multiple GPUs.	Yu Zhang 0027,Xiaofei Liao,Hai Jin 0001,Bingsheng He,Haikun Liu,Lin Gu 0002	10.1145/3297858.3304029
BOGO: Buy Spatial Memory Safety, Get Temporal Memory Safety (Almost) Free.	Tong Zhang,Dongyoon Lee,Changhee Jung	10.1145/3297858.3304017
Fast and Scalable VMM Live Upgrade in Large Cloud Infrastructure.	Xiantao Zhang,Xiao Zheng,Zhi Wang 0004,Qi Li 0002,Junkang Fu,Yang Zhang,Yibin Shen	10.1145/3297858.3304034
HiWayLib: A Software Framework for Enabling High Performance Communications for Heterogeneous Pipeline Computations.	Zhen Zheng,Chanyoung Oh,Jidong Zhai,Xipeng Shen,Youngmin Yi,Wenguang Chen	10.1145/3297858.3304032
Proceedings of the Twenty-Fourth International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS 2019, Providence, RI, USA, April 13-17, 2019	Iris Bahar,Maurice Herlihy,Emmett Witchel,Alvin R. Lebeck	10.1145/3297858
