EdgePC: Efficient Deep Learning Analytics for Point Clouds on Edge Devices.	Ziyu Ying 0001,Sandeepa Bhuyan,Yan Kang,Yingtian Zhang,Mahmut T. Kandemir,Chita R. Das	10.1145/3579371.3589113
HAAC: A Hardware-Software Co-Design to Accelerate Garbled Circuits.	Jianqiao Mo,Jayanth Gopinath,Brandon Reagen	10.1145/3579371.3589045
Hardware Acceleration of Neural Graphics.	Muhammad Husnain Mubarik,Ramakrishna Kanungo,Tobias Zirr,Rakesh Kumar 0002	10.1145/3579371.3589085
Venice: Improving Solid-State Drive Parallelism at Low Cost via Conflict-Free Accesses.	Rakesh Nadig,Mohammad Sadrosadati,Haiyu Mao,Nika Mansouri-Ghiasi,Arash Tavakkol,Jisung Park 0001,Hamid Sarbazi-Azad,Juan Gómez-Luna,Onur Mutlu	10.1145/3579371.3589071
EMISSARY: Enhanced Miss Awareness Replacement Policy for L2 Instruction Caching.	Nayana Prasad Nagendra,Bhargav Reddy Godala,Ishita Chaturvedi,Atmn Patel,Svilen Kanev,Tipp Moseley,Jared Stark,Gilles A. Pokam,Simone Campanoni,David I. August	10.1145/3579371.3589097
RoboShape: Using Topology Patterns to Scalably and Flexibly Deploy Accelerators Across Robots.	Sabrina M. Neuman,Radhika Ghosal,Thomas Bourgeat,Brian Plancher,Vijay Janapa Reddi	10.1145/3579371.3589104
RoSÉ: A Hardware-Software Co-Simulation Infrastructure Enabling Pre-Silicon Full-Stack Robotics SoC Evaluation.	Dima Nikiforov,Shengjun Chris Dong,Chengyi Lux Zhang,Seah Kim,Borivoje Nikolic,Yakun Sophia Shao	10.1145/3579371.3589099
Supply Chain Aware Computer Architecture.	August Ning,Georgios Tziantzioulis,David Wentzlaff	10.1145/3579371.3589052
An Algorithm and Architecture Co-design for Accelerating Smart Contracts in Blockchain.	Rui Pan,Chubo Liu,Guoqing Xiao 0001,Mingxing Duan,Keqin Li 0001,Kenli Li 0001	10.1145/3579371.3589067
DynAMO: Improving Parallelism Through Dynamic Placement of Atomic Memory Operations.	Víctor Soria Pardos,Adrià Armejach,Tiago Mück,Darío Suárez Gracia,José A. Joao,Alejandro Rico,Miquel Moretó	10.1145/3579371.3589065
FACT: FFN-Attention Co-optimized Transformer Architecture with Eager Correlation Prediction.	Yubin Qin,Yang Wang 0089,Dazheng Deng,Zhiren Zhao,Xiaolong Yang,Leibo Liu,Shaojun Wei,Yang Hu 0001,Shouyi Yin	10.1145/3579371.3589057
LAORAM: A Look Ahead ORAM Architecture for Training Large Embedding Tables.	Rachit Rajat,Yongqin Wang,Murali Annavaram	10.1145/3579371.3589111
On Endurance of Processing in (Nonvolatile) Memory.	Salonik Resch,M. Hüsrev Cilasun,Zamshed I. Chowdhury,Masoud Zabihi,Zhengyang Zhao,Jian-Ping Wang 0006,Sachin S. Sapatnekar,Ulya R. Karpuzcu	10.1145/3579371.3589114
With Shared Microexponents, A Little Shifting Goes a Long Way.	Bita Darvish Rouhani,Ritchie Zhao,Venmugil Elango,Rasoul Shafipour,Mathew Hall,Maral Mesmakhosroshahi,Ankit More,Levi Melnick,Maximilian Golub,Girish Varatkar,Lai Shao,Gaurav Kolhe,Dimitry Melts,Jasmine Klar,Renee L&apos;Heureux,Matt Perry,Doug Burger,Eric S. Chung,Zhaoxia (Summer) Deng,Sam Naghshineh,Jongsoo Park,Maxim Naumov	10.1145/3579371.3589351
Energy-Efficient Realtime Motion Planning.	Deval Shah,Ningfeng Yang,Tor M. Aamodt	10.1145/3579371.3589092
Flumen: Dynamic Processing in the Photonic Interconnect.	Kyle Shiflett,Avinash Karanth,Razvan C. Bunescu,Ahmed Louri	10.1145/3579371.3589110
Clifford-based Circuit Cutting for Quantum Simulation.	Kaitlin N. Smith,Michael A. Perlin,Pranav Gokhale,Paige Frederick,David Owusu-Antwi,Richard Rines,Victory Omole,Frederic T. Chong	10.1145/3579371.3589352
SCALO: An Accelerator-Rich Distributed System for Scalable Brain-Computer Interfacing.	Karthik Sriram,Raghavendra Pradyumna Pothukuchi,Michal Gerasimiuk,Muhammed Ugur,Oliver Ye,Rajit Manohar,Anurag Khandelwal,Abhishek Bhattacharjee	10.1145/3579371.3589107
Q-BEEP: Quantum Bayesian Error Mitigation Employing Poisson Modeling over the Hamming Spectrum.	Samuel Alexander Stein,Nathan Wiebe,Yufei Ding,James A. Ang,Ang Li 0006	10.1145/3579371.3589043
μManycore: A Cloud-Native CPU for Tail at Scale.	Jovan Stojkovic,Chunao Liu,Muhammad Shahbaz 0001,Josep Torrellas	10.1145/3579371.3589068
MXFaaS: Resource Sharing in Serverless Environments for Parallelism and Efficiency.	Jovan Stojkovic,Tianyin Xu,Hubertus Franke,Josep Torrellas	10.1145/3579371.3589069
ImaGen: A General Framework for Generating Memory- and Power-Efficient Image Processing Accelerators.	Nisarg Ujjainkar,Jingwen Leng,Yuhao Zhu 0001	10.1145/3579371.3589076
