Physics-Based Urban Earthquake Simulation Enhanced by 10.7 BlnDOF × 30 K Time-Step Unstructured FE Non-Linear Seismic Wave Simulation.	Tsuyoshi Ichimura,Kohei Fujita,Seizo Tanaka,Muneo Hori,Wijerathne Maddegedara Lalith Lakshman,Yoshihisa Shizawa,Hiroshi Kobayashi	10.1109/SC.2014.7
Maximizing Throughput on a Dragonfly Network.	Nikhil Jain,Abhinav Bhatele,Xiang Ni,Nicholas J. Wright,Laxmikant V. Kalé	10.1109/SC.2014.33
ECC Parity: A Technique for Efficient Memory Error Resilience for Multi-Channel Memory Systems.	Xun Jian 0002,Rakesh Kumar 0002	10.1109/SC.2014.89
Parallelization of Reordering Algorithms for Bandwidth and Wavefront Reduction.	Konstantinos I. Karantasis,Andrew Lenharth,Donald Nguyen,María Jesús Garzarán,Keshav Pingali	10.1109/SC.2014.80
A Computation- and Communication-Optimal Parallel Direct 3-Body Algorithm.	Penporn Koanantakool,Katherine A. Yelick	10.1109/SC.2014.35
Efficient I/O and Storage of Adaptive-Resolution Data.	Sidharth Kumar,John Edwards,Peer-Timo Bremer,Aaron Knoll,Cameron Christensen,Venkatram Vishwanath,Philip H. Carns,John A. Schmidt,Valerio Pascucci	10.1109/SC.2014.39
DISC: A Domain-Interaction Based Programming Model with Support for Heterogeneous Execution.	Mehmet Can Kurt,Gagan Agrawal	10.1109/SC.2014.76
Fault-Tolerant Dynamic Task Graph Scheduling.	Mehmet Can Kurt,Sriram Krishnamoorthy,Kunal Agrawal,Gagan Agrawal	10.1109/SC.2014.64
In-Situ Feature Extraction of Large Scale Combustion Simulations Using Segmented Merge Trees.	Aaditya G. Landge,Valerio Pascucci,Attila Gyulassy,Janine Bennett,Hemanth Kolla,Jacqueline Chen,Peer-Timo Bremer	10.1109/SC.2014.88
Practical Symbolic Race Checking of GPU Programs.	Peng Li 0058,Guodong Li,Ganesh Gopalakrishnan	10.1109/SC.2014.20
Optimizing Data Locality for Fork/Join Programs Using Constrained Work Stealing.	Jonathan Lifflander,Sriram Krishnamoorthy,Laxmikant V. Kalé	10.1109/SC.2014.75
Fence Scoping.	Changhui Lin,Vijay Nagarajan,Rajiv Gupta 0001	10.1109/SC.2014.14
Reciprocal Resource Fairness: Towards Cooperative Multiple-Resource Fair Sharing in IaaS Clouds.	Haikun Liu,Bingsheng He	10.1109/SC.2014.84
Scalable Computation of Stream Surfaces on Large Scale Vector Fields.	Kewei Lu,Han-Wei Shen,Tom Peterka	10.1109/SC.2014.87
Orion: Scaling Genomic Sequence Matching with Fine-Grained Parallelization.	Kanak Mahadik,Somali Chaterji,Bowen Zhou,Milind Kulkarni 0001,Saurabh Bagchi	10.1109/SC.2014.42
A Volume Integral Equation Stokes Solver for Problems with Variable Coefficients.	Dhairya Malhotra,Amir Gholami,George Biros	10.1109/SC.2014.13
pTatin3D: High-Performance Methods for Long-Term Lithospheric Dynamics.	Dave A. May,Jed Brown,Laetitia Le Pourhiet	10.1109/SC.2014.28
