Massively parallel 3D image reconstruction.	Xiao Wang 0004,Amit Sabne,Putt Sakdhnagool,Sherman J. Kisner,Charles A. Bouman,Samuel P. Midkiff	10.1145/3126908.3126911
Control replication: compiling implicit parallelism to efficient SPMD with logical regions.	Elliott Slaughter,Wonchan Lee,Sean Treichler,Wen Zhang,Michael Bauer 0001,Galen M. Shipman,Patrick S. McCormick,Alex Aiken	10.1145/3126908.3126949
Scaling betweenness centrality using communication-efficient sparse matrix multiplication.	Edgar Solomonik,Maciej Besta,Flavio Vella,Torsten Hoefler	10.1145/3126908.3126971
Towards fine-grained dynamic tuning of HPC applications on modern multi-core architectures.	Mohammed Sourouri,Espen Birger Raknes,Nico Reissmann,Johannes Langguth,Daniel Hackenberg,Robert Schöne,Per Gunnar Kjeldsberg	10.1145/3126908.3126945
Representative paths analysis.	Nathan R. Tallent,Darren J. Kerbyson,Adolfy Hoisie	10.1145/3126908.3126962
Melissa: large scale in transit sensitivity analysis avoiding intermediate files.	Théophile Terraz,Alejandro Ribés,Yvan Fournier,Bertrand Iooss,Bruno Raffin	10.1145/3126908.3126922
Input-aware auto-tuning of compute-bound HPC kernels.	Philippe Tillet,David D. Cox	10.1145/3126908.3126939
Extreme scale multi-physics simulations of the tsunamigenic 2004 sumatra megathrust earthquake.	Carsten Uphoff,Sebastian Rettenberger,Michael Bader,Elizabeth H. Madden,Thomas Ulrich,Stephanie Wollherr,Alice-Agnes Gabriel	10.1145/3126908.3126948
Optimizing geometric multigrid method computation using a DSL approach.	Vinay Vasista,Kumudha Narasimhan,Siddharth Bhat,Uday Bondhugula	10.1145/3126908.3126968
GUIDE: a scalable information directory service to collect, federate, and analyze logs for operational insights into a leadership HPC facility.	Sudharshan S. Vazhkudai,Ross G. Miller,Devesh Tiwari,Christopher Zimmer 0001,Feiyi Wang,Sarp Oral,Raghul Gunasekaran,Deryl Steinert	10.1145/3126908.3126946
Transactional NVM cache with high performance and crash consistency.	Qingsong Wei,Chundong Wang 0001,Cheng Chen 0008,Yechao Yang,Jun Yang 0022,Mingdi Xue	10.1145/3126908.3126940
Distributed southwell: an iterative method with low communication costs.	Jordi Wolfson-Pou,Edmond Chow	10.1145/3126908.3126966
Probabilistic guarantees of execution duration for Amazon spot instances.	Rich Wolski,John Brevik,Ryan Chard,Kyle Chard	10.1145/3126908.3126953
Optimizing the query performance of block index through data analysis and I/O modeling.	Tzu-Hsien Wu,Jerry Chi-Yuan Chou,Shyng Hao,Bin Dong 0002,Scott Klasky,Kesheng Wu	10.1145/3126908.3126934
Unimem: runtime data managementon non-volatile memory-based heterogeneous main memory.	Kai Wu 0006,Yingchao Huang,Dong Li 0001	10.1145/3126908.3126923
Scaling deep learning on GPU and knights landing clusters.	Yang You 0001,Aydin Buluç,James Demmel	10.1145/3126908.3126912
Geometry-oblivious FMM for compressing dense SPD matrices.	Chenhan D. Yu,James Levitt,Severin Reiz,George Biros	10.1145/3126908.3126921
Tessellating stencils.	Liang Yuan,Yunquan Zhang,Peng Guo,Shan Huang	10.1145/3126908.3126920
Efficient process mapping in geo-distributed cloud data centers.	Amelie Chi Zhou,Yifan Gong 0003,Bingsheng He,Jidong Zhai	10.1145/3126908.3126913
Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2017, Denver, CO, USA, November 12 - 17, 2017	Bernd Mohr,Padma Raghavan	10.1145/3126908
